filename,width,height,class,xmin,ymin,xmax,ymax
taco-jellybean (1).jpg,605,605,purple_jellybean,316,264,380,329
taco-jellybean (10).jpg,605,605,purple_jellybean,240,81,369,167
taco-jellybean (100).jpg,605,605,purple_jellybean,255,291,330,374
taco-jellybean (101).jpg,605,605,purple_jellybean,280,385,338,467
taco-jellybean (102).jpg,605,605,purple_jellybean,171,371,242,458
taco-jellybean (103).jpg,605,605,purple_jellybean,203,377,273,461
taco-jellybean (104).jpg,605,605,purple_jellybean,225,377,296,465
taco-jellybean (105).jpg,605,605,purple_jellybean,230,377,312,464
taco-jellybean (106).jpg,605,605,purple_jellybean,244,372,318,467
taco-jellybean (107).jpg,605,605,purple_jellybean,243,379,323,468
taco-jellybean (108).jpg,605,605,purple_jellybean,253,380,325,468
taco-jellybean (109).jpg,605,605,purple_jellybean,151,186,217,267
taco-jellybean (11).jpg,605,605,purple_jellybean,193,450,358,574
taco-jellybean (110).jpg,605,605,purple_jellybean,248,303,344,397
taco-jellybean (111).jpg,605,605,purple_jellybean,270,301,363,397
taco-jellybean (112).jpg,605,605,purple_jellybean,276,302,372,391
taco-jellybean (113).jpg,605,605,purple_jellybean,288,302,377,394
taco-jellybean (114).jpg,605,605,purple_jellybean,250,254,326,331
taco-jellybean (115).jpg,605,605,purple_jellybean,260,263,335,344
taco-jellybean (116).jpg,605,605,purple_jellybean,279,269,352,349
taco-jellybean (117).jpg,605,605,purple_jellybean,278,276,352,355
taco-jellybean (118).jpg,605,605,purple_jellybean,283,277,355,355
taco-jellybean (119).jpg,605,605,purple_jellybean,290,257,370,341
taco-jellybean (12).jpg,605,605,purple_jellybean,227,211,386,371
taco-jellybean (120).jpg,605,605,purple_jellybean,303,265,381,350
taco-jellybean (121).jpg,605,605,purple_jellybean,312,273,387,357
taco-jellybean (122).jpg,605,605,purple_jellybean,319,286,393,372
taco-jellybean (123).jpg,605,605,purple_jellybean,327,282,393,363
taco-jellybean (124).jpg,605,605,purple_jellybean,322,284,398,364
taco-jellybean (125).jpg,605,605,purple_jellybean,327,280,400,359
taco-jellybean (126).jpg,605,605,purple_jellybean,327,281,397,360
taco-jellybean (127).jpg,605,605,purple_jellybean,300,236,363,318
taco-jellybean (128).jpg,605,605,purple_jellybean,175,166,250,249
taco-jellybean (129).jpg,605,605,purple_jellybean,293,334,367,411
taco-jellybean (13).jpg,605,605,purple_jellybean,198,241,250,353
taco-jellybean (130).jpg,605,605,purple_jellybean,305,331,377,407
taco-jellybean (131).jpg,605,605,purple_jellybean,313,331,388,410
taco-jellybean (132).jpg,605,605,purple_jellybean,319,335,392,412
taco-jellybean (133).jpg,605,605,purple_jellybean,323,334,395,416
taco-jellybean (134).jpg,605,605,purple_jellybean,368,254,438,326
taco-jellybean (135).jpg,605,605,purple_jellybean,377,258,446,329
taco-jellybean (136).jpg,605,605,purple_jellybean,382,264,446,332
